id,price
0,365.27377
1,1742.3307
2,9625.556
3,558.6309
4,9221.206
5,2418.5671
6,1152.1013
7,10395.992
8,891.4821
9,498.40488
10,10478.893
11,14474.164
12,4264.573
13,3856.2336
14,3093.7668
15,686.3873
16,17018.447
17,3359.5332
18,2876.937
19,8383.235
20,9754.74
21,16090.168
22,4564.0107
23,5138.8364
24,2931.7253
25,7034.8276
26,6593.9575
27,1035.6567
28,906.28265
29,4520.1216
30,9343.96
31,523.85504
32,5010.2695
33,1744.5101
34,1969.9095
35,705.3458
36,1763.7085
37,7311.749
38,4319.934
39,16033.435
40,1923.5177
41,903.2831
42,638.5962
43,917.57117
44,686.3168
45,8278.35
46,15617.3
47,10519.194
48,525.8429
49,661.19147
50,10720.406
51,3442.0642
52,2647.259
53,3885.0054
54,4941.042
55,2029.7988
56,4757.3105
57,1068.4879
58,10003.646
59,748.10596
60,5314.2734
61,5605.123
62,705.00323
63,3838.5706
64,5049.2544
65,6340.912
66,10131.99
67,2063.7976
68,8404.405
69,4937.5806
70,9783.586
71,7137.16
72,4971.049
73,4711.844
74,1488.8528
75,3277.3896
76,4448.892
77,4119.7524
78,479.5574
79,898.3833
80,941.9696
81,2073.39
82,579.51715
83,3692.0093
84,2953.4128
85,5631.9697
86,3583.1821
87,2409.9885
88,1218.3687
89,3516.9846
90,1562.6251
91,726.4391
92,515.7845
93,8237.367
94,663.406
95,856.3351
96,4155.113
97,5754.254
98,2667.9097
99,5341.2466
100,2366.3938
101,4084.4846
102,11445.219
103,689.3884
104,4984.7837
105,847.39685
106,518.23596
107,6373.6914
108,754.6941
109,3619.4143
110,923.2111
111,5007.378
112,802.65784
113,791.5815
114,1473.9036
115,413.8251
116,795.64484
117,684.3461
118,4620.1606
119,1955.8855
120,1464.9161
121,1023.94904
122,1000.85535
123,14306.554
124,699.033
125,518.1244
126,3320.7764
127,4481.497
128,1217.229
129,10645.339
130,686.10156
131,13224.718
132,9056.32
133,927.97284
134,2771.3665
135,1658.3889
136,4898.252
137,1493.6067
138,3592.0227
139,1344.6665
140,703.63635
141,5222.9126
142,706.52106
143,519.77264
144,4790.333
145,1124.2946
146,6497.342
147,7943.428
148,4434.2656
149,16187.985
150,3984.3691
151,3345.282
152,3158.0476
153,653.262
154,14606.134
155,5132.2515
156,492.7869
157,803.68677
158,1828.6117
159,805.264
160,665.529
161,3053.0964
162,11526.391
163,1440.9408
164,6941.941
165,11843.277
166,4118.42
167,2937.992
168,452.41647
169,869.8484
170,342.14148
171,3954.9844
172,979.21747
173,977.5237
174,1207.6696
175,3062.9978
176,1917.5334
177,10139.082
178,536.14716
179,4354.5923
180,545.31384
181,1604.9714
182,9026.889
183,796.1947
184,16590.02
185,5069.953
186,2460.1316
187,2517.8083
188,692.876
189,8701.807
190,6617.224
191,2783.1538
192,6146.2583
193,2302.953
194,765.65027
195,3651.7566
196,478.26276
197,3622.736
198,443.1847
199,880.5299
200,4282.761
201,6008.343
202,4825.839
203,12349.455
204,1866.536
205,1001.9612
206,971.2273
207,611.8186
208,2767.1611
209,1373.4037
210,1498.5826
211,2549.1663
212,2293.9734
213,1551.8445
214,1432.463
215,3374.5718
216,911.80334
217,550.7345
218,1198.4347
219,2759.7788
220,1782.7048
221,4586.5444
222,2931.6392
223,603.0123
224,2786.4453
225,1719.139
226,749.9178
227,884.2351
228,5621.4297
229,2748.3604
230,1898.6761
231,15783.378
232,5838.115
233,900.0009
234,1286.5249
235,3727.4014
236,14954.809
237,4394.097
238,1074.8909
239,826.04767
240,4513.348
241,3357.3003
242,4005.19
243,9911.495
244,16135.417
245,5614.5264
246,2265.9307
247,2104.8057
248,1137.4543
249,898.5338
250,2704.57
251,3263.9614
252,1800.3256
253,3029.542
254,764.8473
255,1742.6012
256,701.76404
257,562.3358
258,654.1985
259,4179.431
260,1309.9441
261,2539.935
262,1002.5829
263,13466.678
264,16407.863
265,6049.4688
266,5688.757
267,451.43085
268,1781.354
269,2586.001
270,743.10394
271,962.0148
272,5774.1216
273,1868.0581
274,1006.46747
275,973.0157
